Country,Year,FIFA Ranking,Number of Players,Average Market Value (in Million USD),Total Market Value (in Million USD),GDP,GNI
Indonesia,2009,120.0,1.0,0.00945,1.02375,539580085616.492,539580085616.492
Indonesia,2010,127.0,1.0,0.02835,4.8825,755094157621.936,755094157621.936
Indonesia,2011,142.0,1.0,0.00945,5.3340000000000005,892969104563.171,892969104563.171
Indonesia,2012,156.0,1.0,,,917869913332.649,917869913332.649
Indonesia,2013,161.0,1.0,0.008400000000000001,4.4625,912524136718.018,912524136718.018
Indonesia,2014,159.0,1.0,0.007350000000000001,4.2315000000000005,890814755533.537,890814755533.537
Indonesia,2015,179.0,1.0,,,860854232686.214,860854232686.214
Indonesia,2016,171.0,2.0,0.0126,6.1425,931877364037.698,931877364037.698
Indonesia,2017,162.0,1.0,0.0924,57.729,1015618744159.73,1015618744159.73
Indonesia,2018,159.0,2.0,0.08505,51.481500000000004,1042271532988.63,1042271532988.63
Indonesia,2019,173.0,1.0,0.11970000000000001,80.35650000000001,1119099871350.2,1119099871350.2
Indonesia,2020,173.0,,0.1113,63.0,1059054842698.48,1059054842698.48
Indonesia,2021,164.0,,0.11445000000000001,109.1895,1186509691086.73,1186509691086.73
Indonesia,2022,151.0,,0.12285000000000001,110.397,1319076267310.16,1319076267310.16
Indonesia,2023,,1.0,0.1281,96.28500000000001,1371171152331.16,1371171152331.16
Italy,2003,10.0,318.0,,,1577621707050.51,1577621707050.51
Italy,2004,10.0,374.0,2.5725000000000002,2005.5,1806542968545.56,1806542968545.56
Italy,2005,12.0,382.0,2.4885,2026.5,1858217147203.73,1858217147203.73
Italy,2006,2.0,388.0,2.3939999999999997,2026.5,1949551719389.64,1949551719389.64
Italy,2007,3.0,351.0,2.8665000000000003,2352.0,2213102482751.46,2213102482751.46
Italy,2008,4.0,352.0,3.3285,2551.5,2408655348718.59,2408655348718.59
Italy,2009,4.0,330.0,3.3285,2845.5,2199928804118.63,2199928804118.63
Italy,2010,14.0,295.0,3.2445,2740.5,2136099955236.67,2136099955236.67
Italy,2011,9.0,297.0,3.045,2478.0,2294994296589.5,2294994296589.5
Italy,2012,4.0,286.0,3.0555000000000003,2709.0,2086957656821.6,2086957656821.6
Italy,2013,7.0,277.0,2.8665000000000003,3118.5,2141924094298.56,2141924094298.56
Italy,2014,11.0,361.0,3.4755000000000003,2929.5,2162009615996.54,2162009615996.54
Italy,2015,15.0,358.0,3.8430000000000004,3129.0,1836637711060.55,1836637711060.55
Italy,2016,16.0,382.0,4.1475,3622.5,1877071687633.78,1877071687633.78
Italy,2017,14.0,349.0,5.838,4819.5,1961796197354.36,1961796197354.36
Italy,2018,18.0,326.0,5.313,6216.0,2091932426266.98,2091932426266.98
Italy,2019,13.0,328.0,6.7620000000000005,5239.5,2011302198827.45,2011302198827.45
Italy,2020,10.0,344.0,6.8775,5712.0,1897461635591.91,1897461635591.91
Italy,2021,6.0,357.0,6.6255,5565.0,2154875493744.93,2154875493744.93
Italy,2022,8.0,327.0,6.7410000000000005,5397.0,2066972096553.7,2066972096553.7
Italy,2023,,320.0,6.846,5680.5,2254851212731.8,2254851212731.8
Mexico,2003,7.0,3.0,,,765549967703.273,765549967703.273
Mexico,2004,7.0,2.0,0.15225,90.3525,819459227375.022,819459227375.022
Mexico,2005,5.0,4.0,0.1239,77.385,917571853529.104,917571853529.104
Mexico,2006,20.0,5.0,0.14700000000000002,101.85000000000001,1020265057882.01,1020265057882.01
Mexico,2007,15.0,9.0,0.67515,492.534,1102355554971.95,1102355554971.95
Mexico,2008,26.0,9.0,0.9618000000000001,674.5725000000001,1161553459715.1,1161553459715.1
Mexico,2009,17.0,9.0,0.9807000000000001,643.0305,943437415024.633,943437415024.633
Mexico,2010,27.0,7.0,0.9397500000000001,585.3645,1105424238731.09,1105424238731.09
Mexico,2011,21.0,9.0,0.92715,585.0075,1229013703416.76,1229013703416.76
Mexico,2012,15.0,8.0,0.78645,642.3375,1255110424817.79,1255110424817.79
Mexico,2013,21.0,9.0,0.7329,628.4775,1327436290282.67,1327436290282.67
Mexico,2014,20.0,9.0,0.8778,689.9865,1364507717614.13,1364507717614.13
Mexico,2015,22.0,8.0,0.9145500000000001,733.5615,1213294467716.88,1213294467716.88
Mexico,2016,18.0,7.0,0.924,742.119,1112233497452.7,1112233497452.7
Mexico,2017,16.0,7.0,1.02795,785.7465000000001,1190721475906.0,1190721475906.0
Mexico,2018,17.0,10.0,1.2285,1019.5815,1256300182879.73,1256300182879.73
Mexico,2019,11.0,7.0,1.2285,963.564,1305211135822.61,1305211135822.61
Mexico,2020,9.0,7.0,1.3230000000000002,1006.9290000000001,1120832412468.85,1120832412468.85
Mexico,2021,14.0,11.0,1.4280000000000002,1060.5,1313069763986.6,1313069763986.6
Mexico,2022,15.0,7.0,1.47,1260.0,1463323889036.56,1463323889036.56
Mexico,2023,,9.0,1.4595,1239.0,1788886821046.81,1788886821046.81
Netherlands,2003,4.0,35.0,,,580070360701.96,580070360701.96
Netherlands,2004,6.0,31.0,1.0605,573.9929999999999,658380081545.175,658380081545.175
Netherlands,2005,3.0,37.0,1.1340000000000001,607.4985,685348181515.953,685348181515.953
Netherlands,2006,7.0,37.0,1.1130000000000002,616.0875,733955269898.823,733955269898.823
Netherlands,2007,9.0,29.0,1.2705,676.9350000000001,848558887541.179,848558887541.179
Netherlands,2008,3.0,34.0,1.3230000000000002,761.439,951869997864.062,951869997864.062
Netherlands,2009,3.0,30.0,1.3335000000000001,750.939,871518638049.218,871518638049.218
Netherlands,2010,2.0,34.0,1.3230000000000002,767.2139999999999,847380859016.668,847380859016.668
Netherlands,2011,2.0,35.0,1.2915,734.1075,905270626332.687,905270626332.687
Netherlands,2012,8.0,30.0,1.281,768.9465000000001,838923319919.531,838923319919.531
Netherlands,2013,9.0,34.0,1.1550000000000002,696.969,877172824534.512,877172824534.512
Netherlands,2014,5.0,33.0,1.1235000000000002,644.9100000000001,892167986713.722,892167986713.722
Netherlands,2015,14.0,41.0,1.2495,725.8125,765572770634.375,765572770634.375
Netherlands,2016,22.0,41.0,1.3860000000000001,876.3090000000001,784060430240.08,784060430240.08
Netherlands,2017,20.0,50.0,1.6275000000000002,990.57,833869641687.06,833869641687.06
Netherlands,2018,14.0,48.0,2.1315,1365.0,914043438179.607,914043438179.607
Netherlands,2019,14.0,56.0,1.9320000000000002,1218.0,910194347568.626,910194347568.626
Netherlands,2020,14.0,70.0,1.9530000000000003,1260.0,909793466661.481,909793466661.481
Netherlands,2021,10.0,78.0,1.9320000000000002,1291.5,1029678338329.44,1029678338329.44
Netherlands,2022,6.0,67.0,2.499,1627.5,1009398719033.08,1009398719033.08
Netherlands,2023,,62.0,2.6670000000000003,1732.5,1118124749886.29,1118124749886.29
Poland,2003,25.0,12.0,,,217828661056.935,217828661056.935
Poland,2004,25.0,17.0,0.47985000000000005,210.105,255107252158.631,255107252158.631
Poland,2005,22.0,16.0,0.4242,229.64550000000003,306145944824.93,306145944824.93
Poland,2006,24.0,18.0,0.41265,227.535,344626667414.292,344626667414.292
Poland,2007,22.0,19.0,0.39585000000000004,213.3075,429020755432.721,429020755432.721
Poland,2008,34.0,16.0,0.40005,211.4175,533599779515.715,533599779515.715
Poland,2009,58.0,16.0,0.441,241.899,439731589139.212,439731589139.212
Poland,2010,73.0,18.0,0.47355,252.0525,475696613935.595,475696613935.595
Poland,2011,66.0,17.0,0.4326,236.145,524374183218.309,524374183218.309
Poland,2012,55.0,19.0,0.3696,209.63250000000002,495230523665.901,495230523665.901
Poland,2013,76.0,25.0,0.32235,199.68900000000002,515761954074.157,515761954074.157
Poland,2014,41.0,25.0,0.30555,175.56,539080475073.719,539080475073.719
Poland,2015,34.0,22.0,0.32445,180.7365,477111287969.227,477111287969.227
Poland,2016,15.0,30.0,0.3633,218.97750000000002,470024599375.619,470024599375.619
Poland,2017,7.0,30.0,0.34650000000000003,208.404,524641252834.826,524641252834.826
Poland,2018,20.0,29.0,0.40530000000000005,263.2875,588779796423.695,588779796423.695
Poland,2019,19.0,30.0,0.3486,218.505,596058473058.766,596058473058.766
Poland,2020,19.0,36.0,0.50715,307.10400000000004,599442732365.372,599442732365.372
Poland,2021,27.0,38.0,0.48195000000000005,347.47650000000004,681346077608.607,681346077608.607
Poland,2022,22.0,43.0,0.46095,309.939,689763329458.441,689763329458.441
Poland,2023,,37.0,0.49665,333.48,811229100687.566,811229100687.566
Portugal,2003,17.0,29.0,,,165226175536.793,165226175536.793
Portugal,2004,9.0,31.0,1.1655000000000002,622.629,189382122532.169,189382122532.169
Portugal,2005,10.0,36.0,1.0815000000000001,597.7125,197253876704.921,197253876704.921
Portugal,2006,8.0,38.0,1.1235000000000002,552.72,208756449275.848,208756449275.848
Portugal,2007,8.0,39.0,1.281,634.8615,240496147317.381,240496147317.381
Portugal,2008,11.0,37.0,1.3335000000000001,682.71,263416394624.084,263416394624.084
Portugal,2009,5.0,34.0,1.344,797.895,244667762835.543,244667762835.543
Portugal,2010,8.0,32.0,1.7010000000000003,894.705,238113003233.284,238113003233.284
Portugal,2011,7.0,37.0,1.8900000000000001,1024.5375000000001,245117990242.248,245117990242.248
Portugal,2012,7.0,44.0,2.0475,1113.0,216224240577.957,216224240577.957
Portugal,2013,5.0,41.0,1.827,1015.665,226433858005.714,226433858005.714
Portugal,2014,7.0,44.0,1.7010000000000003,1071.0,229901964221.884,229901964221.884
Portugal,2015,7.0,45.0,1.722,1102.5,199394066525.44,199394066525.44
Portugal,2016,8.0,50.0,1.7955,1186.5,206426152308.931,206426152308.931
Portugal,2017,3.0,45.0,2.0475,1249.5,221357874718.93,221357874718.93
Portugal,2018,6.0,54.0,2.1945,1449.0,242313116577.967,242313116577.967
Portugal,2019,7.0,58.0,1.806,1165.5,239986922638.902,239986922638.902
Portugal,2020,5.0,69.0,2.4885,1575.0,229031860520.777,229031860520.777
Portugal,2021,8.0,61.0,2.499,1743.0,255534839405.899,255534839405.899
Portugal,2022,9.0,76.0,2.6565,1795.5,255196659934.378,255196659934.378
Portugal,2023,,71.0,2.8979999999999997,1911.0,287080013574.497,287080013574.497
Qatar,2003,65.0,1.0,,,23533791208.7912,23533791208.7912
Qatar,2004,66.0,,,,31734065934.0659,31734065934.0659
Qatar,2005,95.0,,,,44530494505.4945,44530494505.4945
Qatar,2006,58.0,,,,60882142857.1429,60882142857.1429
Qatar,2007,87.0,1.0,,,79712087912.0879,79712087912.0879
Qatar,2008,84.0,1.0,,,115270054945.055,115270054945.055
Qatar,2009,86.0,,,,97798351648.3516,97798351648.3516
Qatar,2010,112.0,,,,125122306346.154,125122306346.154
Qatar,2011,93.0,,0.1302,59.43000000000001,167775268626.374,167775268626.374
Qatar,2012,98.0,1.0,0.2436,97.7865,186833502362.637,186833502362.637
Qatar,2013,103.0,1.0,0.25935,129.969,198727642967.033,198727642967.033
Qatar,2014,95.0,1.0,0.29400000000000004,155.69400000000002,206224598571.429,206224598571.429
Qatar,2015,86.0,,0.33390000000000003,161.3745,161739955576.923,161739955576.923
Qatar,2016,87.0,1.0,0.27930000000000005,140.91,151732181868.132,151732181868.132
Qatar,2017,102.0,,0.24885,126.084,161099122225.275,161099122225.275
Qatar,2018,93.0,,0.39585000000000004,185.1675,183334953818.681,183334953818.681
Qatar,2019,55.0,,0.41265,189.18900000000002,176371267692.308,176371267692.308
Qatar,2020,58.0,,0.3927,211.7115,144411363351.648,144411363351.648
Qatar,2021,48.0,,0.39480000000000004,185.37750000000003,179732009560.44,179732009560.44
Qatar,2022,60.0,,0.36119999999999997,168.31500000000003,235770403734.9,235770403734.9
Qatar,2023,,,0.64785,305.5605,,
Saudi Arabia,2003,26.0,,,,215807733333.333,215807733333.333
Saudi Arabia,2004,28.0,,0.042,13.629000000000001,258742133333.333,258742133333.333
Saudi Arabia,2005,33.0,,0.1092,36.54,328459608764.111,328459608764.111
Saudi Arabia,2006,64.0,,0.11025,36.5925,376900133511.348,376900133511.348
Saudi Arabia,2007,61.0,,0.06825,23.131500000000003,415964509673.115,415964509673.115
Saudi Arabia,2008,48.0,,0.1008,43.3965,519796800000.0,519796800000.0
Saudi Arabia,2009,63.0,,0.21000000000000002,80.493,429097866666.667,429097866666.667
Saudi Arabia,2010,80.0,,0.3045,145.929,528207200000.0,528207200000.0
Saudi Arabia,2011,96.0,,0.2877,159.894,676634666666.667,676634666666.667
Saudi Arabia,2012,126.0,,0.252,132.699,741849866666.667,741849866666.667
Saudi Arabia,2013,87.0,,0.2331,119.8365,753864533333.333,753864533333.333
Saudi Arabia,2014,102.0,,0.2205,124.005,766605866666.667,766605866666.667
Saudi Arabia,2015,80.0,,0.21315000000000003,109.67250000000001,669484266666.667,669484266666.667
Saudi Arabia,2016,54.0,,0.32865,177.24,666000000000.0,666000000000.0
Saudi Arabia,2017,63.0,2.0,0.41475000000000006,217.53900000000002,714994666666.667,714994666666.667
Saudi Arabia,2018,69.0,,0.7077000000000001,442.75350000000003,846583733333.333,846583733333.333
Saudi Arabia,2019,67.0,,0.6489,395.58750000000003,838564800000.0,838564800000.0
Saudi Arabia,2020,67.0,,0.6646500000000001,403.25250000000005,734271200000.0,734271200000.0
Saudi Arabia,2021,51.0,,0.5848500000000001,388.81500000000005,874156000000.0,874156000000.0
Saudi Arabia,2022,49.0,,0.6699,367.332,1108571466666.67,1108571466666.67
Saudi Arabia,2023,,,1.533,1017.4185000000001,1067582933333.33,1067582933333.33
Scotland,2003,54.0,28.0,,,1585500840000.0,1603644840000.0
Scotland,2004,86.0,20.0,0.5880000000000001,245.1225,1666522620000.0,1680237720000.0
Scotland,2005,60.0,21.0,0.6258,277.80899999999997,1762423740000.0,1780713900000.0
Scotland,2006,25.0,21.0,0.6415500000000001,293.9475,1854767880000.0,1847488860000.0
Scotland,2007,14.0,16.0,0.7087500000000001,321.9615,1946242620000.0,1928472840000.0
Scotland,2008,33.0,8.0,0.8694,373.716,2007936000000.0,1981436940000.0
Scotland,2009,46.0,22.0,0.8305500000000001,368.109,1951490520000.0,1935095400000.0
Scotland,2010,52.0,21.0,0.64995,289.359,2026776780000.0,2027667600000.0
Scotland,2011,47.0,21.0,0.5596500000000001,256.1265,2094863400000.0,2103614100000.0
Scotland,2012,72.0,20.0,0.41790000000000005,179.84400000000002,2159280900000.0,2139171300000.0
Scotland,2013,34.0,20.0,0.42105000000000004,170.04749999999999,2244514860000.0,2204737920000.0
Scotland,2014,36.0,19.0,0.40005,171.60150000000002,2346767640000.0,2304844920000.0
Scotland,2015,52.0,19.0,0.3906,169.239,2414728260000.0,2362099320000.0
Scotland,2016,67.0,21.0,0.38745,180.9675,2509472700000.0,2450589120000.0
Scotland,2017,34.0,14.0,0.4662,211.50150000000002,2623927320000.0,2595694500000.0
Scotland,2018,38.0,12.0,0.5838000000000001,328.629,2711903040000.0,2675044260000.0
Scotland,2019,50.0,20.0,0.60795,284.96999999999997,2814740460000.0,2811900420000.0
Scotland,2020,48.0,22.0,0.8095500000000001,370.1565,2650392360000.0,2593738980000.0
Scotland,2021,38.0,29.0,0.89985,449.757,2879604000000.0,2896804260000.0
Scotland,2022,42.0,27.0,0.91035,432.39000000000004,3183299280000.0,3200699880000.0
Scotland,2023,,25.0,0.92295,442.3125,3427236540000.0,3404183580000.0
South Korea,2003,22.0,2.0,,,702714855193.904,702714855193.904
South Korea,2004,22.0,1.0,,,793175561887.027,793175561887.027
South Korea,2005,29.0,6.0,,,934901071332.984,934901071332.984
South Korea,2006,51.0,5.0,,,1053216909887.56,1053216909887.56
South Korea,2007,42.0,5.0,0.0504,27.321,1172614086539.86,1172614086539.86
South Korea,2008,42.0,6.0,0.0966,53.8965,1047339010225.25,1047339010225.25
South Korea,2009,52.0,7.0,0.063,36.75,943941876218.743,943941876218.743
South Korea,2010,40.0,7.0,0.07245000000000001,45.675000000000004,1143672241149.72,1143672241149.72
South Korea,2011,32.0,8.0,0.1323,90.909,1253289537500.81,1253289537500.81
South Korea,2012,35.0,8.0,0.1827,122.04150000000001,1278046536287.01,1278046536287.01
South Korea,2013,54.0,9.0,0.25095,138.1065,1370632955321.2,1370632955321.2
South Korea,2014,69.0,9.0,0.336,158.1825,1484488526271.8,1484488526271.8
South Korea,2015,51.0,9.0,0.32655,155.169,1466038936206.43,1466038936206.43
South Korea,2016,37.0,7.0,0.3024,140.805,1499679823909.61,1499679823909.61
South Korea,2017,60.0,9.0,0.2772,131.334,1623074183501.9,1623074183501.9
South Korea,2018,53.0,10.0,0.24045000000000002,121.38,1725373496825.43,1725373496825.43
South Korea,2019,40.0,9.0,0.3087,163.69500000000002,1651422932447.77,1651422932447.77
South Korea,2020,38.0,9.0,0.29295000000000004,139.2615,1644312831906.17,1644312831906.17
South Korea,2021,33.0,8.0,0.38115,178.9725,1818432106880.04,1818432106880.04
South Korea,2022,25.0,6.0,0.35805000000000003,171.57000000000002,1673916511799.71,1673916511799.71
South Korea,2023,,8.0,0.036855,182.65800000000002,1712792854202.37,1712792854202.37
Spain,2003,3.0,361.0,,,907491523174.116,907491523174.116
Spain,2004,5.0,398.0,2.7510000000000003,1753.5,1069055675273.75,1069055675273.75
Spain,2005,5.0,368.0,3.108,1953.0,1153715822717.51,1153715822717.51
Spain,2006,12.0,337.0,3.7485,2362.5,1260398977831.76,1260398977831.76
Spain,2007,4.0,351.0,4.3365,2719.5,1474002579820.0,1474002579820.0
Spain,2008,1.0,351.0,4.452000000000001,2782.5,1631863493552.34,1631863493552.34
