Country,Year,FIFA Ranking,Number of Players,Average Market Value (in Million USD),Total Market Value (in Million USD)
Switzerland,2009,18.0,27.0,0.5984999999999999,201.18
Switzerland,2010,22.0,26.0,0.5848500000000001,187.6875
Switzerland,2011,17.0,25.0,0.72765,248.0625
Switzerland,2012,12.0,25.0,0.6919500000000001,229.005
Switzerland,2013,8.0,31.0,0.7287,254.394
Switzerland,2014,12.0,31.0,0.8095500000000001,261.345
Switzerland,2015,12.0,41.0,0.9555000000000001,322.9275
Switzerland,2016,11.0,40.0,0.8043,280.71750000000003
Switzerland,2017,8.0,40.0,0.9807000000000001,351.12
Switzerland,2018,8.0,33.0,1.02165,390.2325
Switzerland,2019,12.0,34.0,0.79695,306.73650000000004
Switzerland,2020,16.0,42.0,0.85995,305.13000000000005
Switzerland,2021,13.0,38.0,1.01535,391.96500000000003
Switzerland,2022,12.0,29.0,1.01955,377.4225
Switzerland,2023,,36.0,1.0710000000000002,501.3225
Turkey,2003,8.0,15.0,,
Turkey,2004,14.0,12.0,1.3125,776.1285
Turkey,2005,11.0,14.0,1.0227,658.8435000000001
Turkey,2006,26.0,9.0,1.3965,845.061
Turkey,2007,16.0,12.0,1.2915,856.3275
Turkey,2008,10.0,18.0,1.26,790.8915000000001
Turkey,2009,41.0,13.0,1.26,848.7675
Turkey,2010,31.0,12.0,1.4595,953.379
Turkey,2011,28.0,17.0,1.6695000000000002,1021.419
Turkey,2012,40.0,15.0,1.5750000000000002,1033.4415000000001
Turkey,2013,43.0,15.0,1.5645,1144.5
Turkey,2014,49.0,15.0,1.722,1071.0
Turkey,2015,21.0,16.0,1.7535,1176.0
Turkey,2016,24.0,17.0,1.302,894.894
Turkey,2017,42.0,17.0,1.1340000000000001,751.6215000000001
Turkey,2018,39.0,21.0,1.0710000000000002,773.3565
Turkey,2019,29.0,19.0,0.95235,681.0090000000001
Turkey,2020,32.0,23.0,1.1864999999999999,1011.8850000000001
Turkey,2021,37.0,21.0,1.3860000000000001,1144.5
Turkey,2022,,19.0,1.6065,1260.0
Turkey,2023,,16.0,1.533,1323.0
United States,2003,11.0,11.0,,
United States,2004,11.0,14.0,,
United States,2005,8.0,11.0,,
United States,2006,31.0,20.0,0.08085,37.642500000000005
United States,2007,19.0,17.0,0.22995000000000002,123.9315
United States,2008,22.0,13.0,0.2667,160.7865
United States,2009,14.0,17.0,0.2541,156.03
United States,2010,18.0,18.0,0.34335000000000004,188.055
United States,2011,34.0,19.0,0.3675,272.86350000000004
United States,2012,28.0,16.0,0.41475000000000006,306.63149999999996
United States,2013,14.0,15.0,0.39795,297.57
United States,2014,27.0,16.0,0.44205,283.1535
United States,2015,32.0,16.0,0.5397000000000001,378.588
United States,2016,28.0,15.0,0.5523,354.03900000000004
United States,2017,24.0,16.0,0.5628000000000001,461.769
United States,2018,25.0,22.0,0.72975,575.2215000000001
United States,2019,22.0,18.0,0.80745,652.869
United States,2020,22.0,19.0,0.9974999999999999,838.0050000000001
United States,2021,11.0,32.0,1.1130000000000002,916.545
United States,2022,13.0,26.0,1.302,1186.5
United States,2023,,27.0,1.3755000000000002,1365.0
