RK,Team,Total Points,Previous Points,+/-,Match window,More
116,Sierra Leone,1165,1165,-,,
117,Kosovo,1155,1155,-,,
118,New Zealand,1149,1149,-,,
119,Namibia,1147,1147,-,,
120,Guinea-Bissau,1146,1146,-,,
121,Tajikistan,1143,1143,-,,
122,Kazakhstan,1142,1142,-,,
123,Malawi,1140,1140,-,,
124,Philippines,1136,1136,-,,
125,Angola,1134,1134,-,,
126,Antigua and Barbuda,1127,1127,-,,
127,Sudan,1124,1124,-,,
128,Togo,1115,1115,-,,
129,Lithuania,1114,1114,-,,
130,Comoros,1112,1112,-,,
131,Guatemala,1111,1111,-,,
132,Turkmenistan,1107,1107,-,,
133,Rwanda,1099,1099,-,,
134,Equatorial Guinea,1097,1097,-,,
135,Tanzania,1085,1085,-,,
136,Latvia,1082,1082,-,,
137,Myanmar,1081,1081,-,,
138,Chinese Taipei,1078,1078,-,,
138,Burundi,1078,1078,-,,
140,St. Kitts and Nevis,1074,1074,-,,
141,Suriname,1073,1073,-,,
141,Solomon Islands,1073,1073,-,,
143,Lesotho,1072,1072,-,,
143,Hong Kong,1072,1072,-,,
145,Yemen,1071,1071,-,,
146,Botswana,1066,1066,-,,
146,Ethiopia,1066,1064,2,,
148,Kuwait,1060,1060,-,,
149,Nicaragua,1055,1055,-,,
150,Afghanistan,1052,1052,-,,
151,Andorra,1048,1048,-,,
152,Liberia,1047,1047,-,,
153,Malaysia,1040,1040,-,,
153,Eswatini,1040,1040,-,,
155,Maldives,1038,1038,-,,
156,New Caledonia,1035,1035,-,,
157,Gambia,1034,1034,-,,
158,Singapore,1020,1020,-,,
159,Dominican Republic,1019,1019,-,,
160,Grenada,1015,1015,-,,
161,Tahiti,1014,1014,-,,
162,Barbados,1009,1009,-,,
163,South Sudan,998,998,-,,
164,Fiji,996,996,-,,
164,Vanuatu,996,996,-,,
166,Papua New Guinea,991,991,-,,
167,Guyana,988,988,-,,
168,St. Vincent and the Grenadines,986,986,-,,
169,Bermuda,983,983,-,,
170,Belize,974,974,-,,
171,Nepal,968,968,-,,
172,Mauritius,965,965,-,,
173,Cambodia,964,964,-,,
173,Indonesia,964,964,-,,
175,St. Lucia,953,953,-,,
176,Malta,951,951,-,,
177,Moldova,950,950,-,,
178,Chad,947,947,-,,
179,Puerto Rico,941,941,-,,
180,Cuba,936,936,-,,
181,Liechtenstein,924,924,-,,
182,Macau,922,922,-,,
183,Montserrat,921,921,-,,
184,Djibouti,919,919,-,,
184,Dominica,919,919,-,,
186,Bangladesh,917,920,-3,L,
187,São Tomé and Príncipe,914,914,-,,
188,Laos,912,912,-,,
189,Bhutan,911,911,-,,
190,Mongolia,906,906,-,,
191,Brunei Darussalam,904,904,-,,
192,American Samoa,900,900,-,,
193,Cayman Islands,897,897,-,,
194,Samoa,894,894,-,,
195,Gibraltar,888,888,-,,
196,Bahamas,880,880,-,,
197,Somalia,879,879,-,,
197,Timor-Leste,879,879,-,,
199,Guam,873,873,-,,
200,Aruba,867,867,-,,
200,Pakistan,867,867,-,,
202,Seychelles,866,866,-,,
203,Tonga,862,862,-,,
203,Turks and Caicos Islands,862,862,-,,
205,Eritrea,856,856,-,,
206,Sri Lanka,853,853,-,,
207,US Virgin Islands,844,844,-,,
208,British Virgin Islands,842,842,-,,
209,Anguilla,821,821,-,,
210,San Marino,810,810,-,,
