Country,Year,Average Market Value (in Million Euros),Total Market Value (in Million Euro)
Qatar,2017,0.237,120.08
Qatar,2018,0.377,176.35
Qatar,2019,0.393,180.18
Qatar,2020,0.374,201.63
Qatar,2021,0.376,176.55
Qatar,2022,0.344,160.3
Qatar,2023,0.617,291.01
Turkey,2003,,
Turkey,2004,1.25,739.17
Turkey,2005,0.974,627.47
Turkey,2006,1.33,804.82
Turkey,2007,1.23,815.55
Turkey,2008,1.2,753.23
Turkey,2009,1.2,808.35
Turkey,2010,1.39,907.98
Turkey,2011,1.59,972.78
Turkey,2012,1.5,984.23
Turkey,2013,1.49,1090
Turkey,2014,1.64,1020
Turkey,2015,1.67,1120
Turkey,2016,1.24,852.28
Turkey,2017,1.08,715.83
Turkey,2018,1.02,736.53
Turkey,2019,0.907,648.58
Turkey,2020,1.13,963.7
Turkey,2021,1.32,1090
Turkey,2022,1.53,1200
Turkey,2023,1.46,1260
Saudi Arabia,2003,,
Saudi Arabia,2004,0.04,12.98
Saudi Arabia,2005,0.104,34.8
Saudi Arabia,2006,0.105,34.85
Saudi Arabia,2007,0.065,22.03
Saudi Arabia,2008,0.096,41.33
Saudi Arabia,2009,0.2,76.66
Saudi Arabia,2010,0.29,138.98
Saudi Arabia,2011,0.274,152.28
Saudi Arabia,2012,0.24,126.38
Saudi Arabia,2013,0.222,114.13
Saudi Arabia,2014,0.21,118.1
Saudi Arabia,2015,0.203,104.45
Saudi Arabia,2016,0.313,168.8
Saudi Arabia,2017,0.395,207.18
Saudi Arabia,2018,0.674,421.67
Saudi Arabia,2019,0.618,376.75
Saudi Arabia,2020,0.633,384.05
Saudi Arabia,2021,0.557,370.3
Saudi Arabia,2022,0.638,349.84
Saudi Arabia,2023,1.46,968.97
France,2003,,
France,2004,1.67,1040
France,2005,1.92,1270
France,2006,2.15,1420
France,2007,2.31,1510
France,2008,2.27,1470
France,2009,2.44,1590
France,2010,2.4,1600
France,2011,2.31,1590
France,2012,2.3,1620
France,2013,2.4,1750
France,2014,2.46,1640
France,2015,2.58,1790
France,2016,2.86,2140
France,2017,5.09,3480
France,2018,5.33,4020
France,2019,5.1,3410
France,2020,5.56,4020
France,2021,5.42,4210
France,2022,5.7,4310
France,2023,6.26,4370
United States,2003,,
United States,2004,,
United States,2005,,
United States,2006,0.077,35.85
United States,2007,0.219,118.03
United States,2008,0.254,153.13
United States,2009,0.242,148.6
United States,2010,0.327,179.1
United States,2011,0.35,259.87
United States,2012,0.395,292.03
United States,2013,0.379,283.4
United States,2014,0.421,269.67
United States,2015,0.514,360.56
United States,2016,0.526,337.18
United States,2017,0.536,439.78
United States,2018,0.695,547.83
United States,2019,0.769,621.78
United States,2020,0.95,798.1
United States,2021,1.06,872.9
United States,2022,1.24,1130
United States,2023,1.31,1300
Mexico,2003,,
Mexico,2004,0.145,86.05
Mexico,2005,0.118,73.7
Mexico,2006,0.14,97
Mexico,2007,0.643,469.08
Mexico,2008,0.916,642.45
Mexico,2009,0.934,612.41
Mexico,2010,0.895,557.49
Mexico,2011,0.883,557.15
Mexico,2012,0.749,611.75
Mexico,2013,0.698,598.55
Mexico,2014,0.836,657.13
Mexico,2015,0.871,698.63
Mexico,2016,0.88,706.78
Mexico,2017,0.979,748.33
Mexico,2018,1.17,971.03
Mexico,2019,1.17,917.68
Mexico,2020,1.26,958.98
Mexico,2021,1.36,1010
Mexico,2022,1.4,1200
Mexico,2023,1.39,1180
Italy,2003,,
Italy,2004,2.45,1910
Italy,2005,2.37,1930
Italy,2006,2.28,1930
Italy,2007,2.73,2240
Italy,2008,3.17,2430
Italy,2009,3.17,2710
Italy,2010,3.09,2610
Italy,2011,2.9,2360
Italy,2012,2.91,2580
Italy,2013,2.73,2970
Italy,2014,3.31,2790
Italy,2015,3.66,2980
Italy,2016,3.95,3450
Italy,2017,5.56,4590
Italy,2018,5.06,5920
Italy,2019,6.44,4990
Italy,2020,6.55,5440
Italy,2021,6.31,5300
Italy,2022,6.42,5140
Italy,2023,6.52,5410
Brazil,2003,,
Brazil,2004,,
Brazil,2005,,
Brazil,2006,0.248,206.8
Brazil,2007,0.233,234.15
Brazil,2008,0.284,282.05
Brazil,2009,0.576,529.45
Brazil,2010,0.814,913.03
Brazil,2011,0.989,1070
Brazil,2012,0.97,1070
Brazil,2013,0.835,940.18
Brazil,2014,0.775,807.55
Brazil,2015,0.681,714.03
Brazil,2016,0.645,697.63
Brazil,2017,0.999,1030
Brazil,2018,0.901,1030
Brazil,2019,0.982,1050
Brazil,2020,0.826,940.88
Brazil,2021,0.983,1160
Brazil,2022,1.15,1240
Brazil,2023,1.54,1670
Germany,2003,,
Germany,2004,1.9,1090
Germany,2005,2.07,1210
Germany,2006,2.29,1300
Germany,2007,2.42,1480
Germany,2008,2.77,1670
Germany,2009,2.9,1780
Germany,2010,3.33,1930
Germany,2011,3.19,1920
Germany,2012,3.47,2070
Germany,2013,3.86,2400
Germany,2014,4.34,2490
Germany,2015,4.46,2680
Germany,2016,4.48,2880
Germany,2017,6.64,3990
Germany,2018,7.71,4880
Germany,2019,7.02,4470
Germany,2020,7.67,4800
Germany,2021,6.71,4350
Germany,2022,7.22,4660
Germany,2023,7.8,4900
