Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Early-demographic dividend,EAR,"GNI per capita, Atlas method (current US$)",2734.72034,2983.843055,3290.867301,3417.294365,3448.769178,3327.517753,3289.273773,3343.759027,3511.798002,3573.662165,3300.248249,3636.89895,3991.744181,4207.69479
East Asia & Pacific,EAS,"GNI per capita, Atlas method (current US$)",7357.45919,8164.629757,9126.540043,9717.466095,9938.615682,9819.38192,9894.506471,10230.35898,11097.9842,11691.42172,11644.77786,12841.50064,13525.91384,13712.4644
Europe & Central Asia (excluding high income),ECA,"GNI per capita, Atlas method (current US$)",5789.882512,6229.815717,6825.670011,7416.179824,7435.337371,6980.286851,6337.082025,6116.247402,6099.566142,6054.340382,5860.561757,6408.686488,6940.833767,7691.872477
Europe & Central Asia,ECS,"GNI per capita, Atlas method (current US$)",24544.01517,25006.80601,25316.63275,26009.14472,26055.97524,24674.42516,23355.47153,22877.32683,24428.54798,25345.49757,24015.46214,26743.82488,28534.49227,29061.17309
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",4320,4800,5350,5920,6220,5990,5780,5960,6140,6100,5400,6080,6520,6510
"Egypt, Arab Rep.",EGY,"GNI per capita, Atlas method (current US$)",2250,2430,2690,2870,3060,3160,3260,2940,2760,2690,3010,3520,4100,3900
Euro area,EMU,"GNI per capita, Atlas method (current US$)",39524.64446,40005.73934,38918.50916,39128.64465,39051.61706,37417.62106,36052.01225,35576.38566,38544.1661,39991.44802,37899.9015,42019.06404,43978.70334,44016.66044
Eritrea,ERI,"GNI per capita, Atlas method (current US$)",520,610,,,,,,,,,,,,
Spain,ESP,"GNI per capita, Atlas method (current US$)",31970,31020,29540,29230,29160,28460,27570,27120,29330,30360,27180,30090,32090,32180
Estonia,EST,"GNI per capita, Atlas method (current US$)",14580,15840,16760,18140,18880,18570,18290,18760,21180,23090,23500,26310,27200,27240
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",370,380,400,460,540,590,650,720,780,830,880,940,1020,1130
European Union,EUU,"GNI per capita, Atlas method (current US$)",34775.16483,35236.32586,34499.2165,34798.10664,34801.1782,33399.82024,32173.53847,31829.42773,34567.04379,35981.83072,34314.65665,38097.31104,40157.77677,40328.53723
Fragile and conflict affected situations,FCS,"GNI per capita, Atlas method (current US$)",1900.583064,1905.740471,2128.568114,2201.379051,2248.445466,1981.731245,1801.702753,1674.779831,1732.683643,1832.22178,1716.018799,1796.577805,1848.742224,1827.843707
Finland,FIN,"GNI per capita, Atlas method (current US$)",49750,50260,48970,49510,49420,47180,45530,44840,48210,49940,50030,53210,54730,53390
Fiji,FJI,"GNI per capita, Atlas method (current US$)",3470,3590,3930,4470,4750,4830,5010,5120,5680,5590,4650,4490,5390,5580
France,FRA,"GNI per capita, Atlas method (current US$)",43970,44440,43410,43800,43340,41130,39100,38320,41170,42460,39250,43810,45290,45070
Faroe Islands,FRO,"GNI per capita, Atlas method (current US$)",49280,53610,56390,59300,60390,57780,57400,57880,62940,66090,64460,69840,74420,
"Micronesia, Fed. Sts.",FSM,"GNI per capita, Atlas method (current US$)",2780,2950,3050,3100,3100,3470,3400,3400,3350,4010,3940,3970,4050,4150
Gabon,GAB,"GNI per capita, Atlas method (current US$)",7450,7720,8660,8920,8930,7660,6810,6280,6610,6950,6830,6440,7530,7960
United Kingdom,GBR,"GNI per capita, Atlas method (current US$)",41770,41100,41800,42790,44580,44380,42960,41660,42020,43240,38750,45550,48640,47800
Georgia,GEO,"GNI per capita, Atlas method (current US$)",3220,3580,4250,4680,4850,4500,4180,4130,4580,4780,4330,4760,5690,6680
Ghana,GHA,"GNI per capita, Atlas method (current US$)",1200,1340,1480,1780,1820,1870,1750,1820,2050,2150,2230,2280,2380,2340
Gibraltar,GIB,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Guinea,GIN,"GNI per capita, Atlas method (current US$)",690,670,690,690,730,750,760,810,850,940,950,990,1180,1360
"Gambia, The",GMB,"GNI per capita, Atlas method (current US$)",820,700,700,670,600,580,580,610,670,700,700,740,800,830
Guinea-Bissau,GNB,"GNI per capita, Atlas method (current US$)",620,660,630,660,660,670,670,710,750,820,790,830,870,900
Equatorial Guinea,GNQ,"GNI per capita, Atlas method (current US$)",8600,9950,11980,12140,11460,9410,7180,5660,5860,5520,5150,5180,4870,5240
Greece,GRC,"GNI per capita, Atlas method (current US$)",27610,24560,23180,22430,22010,20190,18640,17960,19080,19690,17920,20010,21810,22580
Grenada,GRD,"GNI per capita, Atlas method (current US$)",6470,6560,6520,6840,6940,7140,7680,8020,8750,8880,7890,8320,9350,9800
Greenland,GRL,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Guatemala,GTM,"GNI per capita, Atlas method (current US$)",2730,2910,3160,3380,3550,3700,3870,4100,4400,4620,4490,4930,5340,5580
Guam,GUM,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Guyana,GUY,"GNI per capita, Atlas method (current US$)",4520,4870,5360,5630,5660,5560,5690,6000,6240,6500,8110,9340,14920,20360
High income,HIC,"GNI per capita, Atlas method (current US$)",35951.90232,37252.30483,38686.45505,39594.2263,39734.40292,38351.63145,37370.38242,37590.23576,40278.81194,41851.65658,40352.51039,44520.24801,47261.83959,48223.72917
"Hong Kong SAR, China",HKG,"GNI per capita, Atlas method (current US$)",33620,35690,36340,38570,40240,41180,42970,46380,50050,50480,48550,54380,54000,55200
Honduras,HND,"GNI per capita, Atlas method (current US$)",1710,1850,1930,1970,1970,2020,2080,2200,2280,2330,2120,2440,2710,2900
Heavily indebted poor countries (HIPC),HPC,"GNI per capita, Atlas method (current US$)",771.6843639,796.6535531,829.3723311,879.8161349,938.3330249,932.7092795,906.5314877,896.1343092,941.5153817,972.5104371,957.1082608,1003.339103,1071.201053,1132.608856
Croatia,HRV,"GNI per capita, Atlas method (current US$)",13860,13950,13460,13810,13670,13510,12910,13110,14430,15460,14740,17650,19650,20670
Haiti,HTI,"GNI per capita, Atlas method (current US$)",1140,1250,1320,1410,1460,1430,1370,1360,1420,1410,1330,1440,1610,1740
Hungary,HUN,"GNI per capita, Atlas method (current US$)",13260,13250,13080,13520,13560,13230,13100,13180,14980,16570,16040,17740,19050,19820
IBRD only,IBD,"GNI per capita, Atlas method (current US$)",4206.329547,4689.836504,5320.742392,5745.640519,5926.104506,5743.353359,5629.841236,5753.4348,6189.857831,6520.326997,6289.270413,6973.930795,7538.964626,7931.077733
IDA & IBRD total,IBT,"GNI per capita, Atlas method (current US$)",3442.189588,3814.041239,4303.566802,4635.280092,4782.329075,4635.353455,4533.75649,4610.584796,4940.780828,5182.249793,4987.868283,5490.466753,5902.54332,6164.249758
IDA total,IDA,"GNI per capita, Atlas method (current US$)",1051.954448,1110.371045,1200.332789,1283.547173,1365.675611,1361.126156,1332.475777,1314.388433,1386.182136,1428.420265,1392.511242,1460.543221,1538.115653,1531.338398
IDA blend,IDB,"GNI per capita, Atlas method (current US$)",1470.044614,1538.773382,1721.284372,1882.867412,2030.230249,2007.294337,1907.883529,1789.759218,1828.003981,1848.329209,1781.019614,1854.712919,1925.790543,1831.067118
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",2510,2990,3550,3710,3600,3420,3400,3530,3850,4070,3900,4170,4580,4870
IDA only,IDX,"GNI per capita, Atlas method (current US$)",840.8325493,893.8066035,936.9827212,980.6943425,1030.1565,1035.598382,1043.6211,1076.571925,1165.779818,1219.566651,1199.768624,1265.401639,1346.551692,1384.116254
Isle of Man,IMN,"GNI per capita, Atlas method (current US$)",72450,74860,82390,87680,88570,83630,78710,77920,83460,84490,79300,76300,,
India,IND,"GNI per capita, Atlas method (current US$)",1210,1360,1470,1500,1550,1590,1680,1800,1980,2080,1910,2180,2400,2540
Not classified,INX,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Ireland,IRL,"GNI per capita, Atlas method (current US$)",44990,42410,40820,43540,46530,50420,51740,53660,59490,63570,66010,76270,79730,80390
"Iran, Islamic Rep.",IRN,"GNI per capita, Atlas method (current US$)",6110,6860,7490,7340,6740,5480,5470,5490,4880,3990,3270,3510,3980,4680
Iraq,IRQ,"GNI per capita, Atlas method (current US$)",4350,4710,5940,6590,6320,5460,5060,4400,4780,5470,4670,4690,5440,5600
Iceland,ISL,"GNI per capita, Atlas method (current US$)",38020,39370,42510,49180,50210,52790,58720,62450,72600,75160,65870,67000,73930,79840
Israel,ISR,"GNI per capita, Atlas method (current US$)",30350,32400,33110,35070,36640,36550,36840,38210,41520,43800,43120,49350,55140,55020
Italy,ITA,"GNI per capita, Atlas method (current US$)",37960,37980,36220,35570,34910,33000,31970,31380,33850,34910,32440,36420,38370,38200
Jamaica,JAM,"GNI per capita, Atlas method (current US$)",4520,4730,5130,5170,5070,4870,4770,4940,5230,5500,4900,5190,5760,6150
Jordan,JOR,"GNI per capita, Atlas method (current US$)",3690,3910,4180,4240,4040,3860,3830,3920,4090,4180,4050,4210,4350,4460
Japan,JPN,"GNI per capita, Atlas method (current US$)",43910,47470,50060,48850,44440,39380,38460,38930,41800,41970,40940,43670,42550,39030
Kazakhstan,KAZ,"GNI per capita, Atlas method (current US$)",7440,8280,9940,11840,12080,11380,8770,8040,8070,8820,8710,8790,9610,10940
Kenya,KEN,"GNI per capita, Atlas method (current US$)",930,1010,1060,1130,1260,1330,1500,1550,1730,1890,1900,2080,2170,2110
Kyrgyz Republic,KGZ,"GNI per capita, Atlas method (current US$)",850,880,1040,1190,1250,1180,1110,1110,1220,1270,1240,1280,1490,1700
Cambodia,KHM,"GNI per capita, Atlas method (current US$)",750,810,880,960,1020,1070,1160,1260,1420,1560,1530,1580,1690,1810
Kiribati,KIR,"GNI per capita, Atlas method (current US$)",2050,2110,2650,3050,3270,3500,3000,3130,3260,3600,3060,3160,3320,3730
St. Kitts and Nevis,KNA,"GNI per capita, Atlas method (current US$)",15790,16520,16790,18210,18560,18380,19350,20100,21580,23280,19010,18660,20670,21380
"Korea, Rep.",KOR,"GNI per capita, Atlas method (current US$)",22280,23580,25650,26970,28160,28720,29330,30290,32740,33830,33040,35180,36160,35490
Kuwait,KWT,"GNI per capita, Atlas method (current US$)",43190,44130,49020,51300,50050,41040,34540,30870,32300,35240,32790,35990,40730,46140
Latin America & Caribbean (excluding high income),LAC,"GNI per capita, Atlas method (current US$)",7728.723097,8573.52237,9463.513802,9910.83184,9735.181301,8893.267708,8137.138647,8004.23901,8284.136661,8350.946263,7288.472945,7707.997948,8291.09773,9028.386764
Lao PDR,LAO,"GNI per capita, Atlas method (current US$)",990,1130,1360,1600,1810,1970,2110,2240,2470,2520,2470,2510,2310,2120
Lebanon,LBN,"GNI per capita, Atlas method (current US$)",7410,7800,8080,7970,7520,7440,7750,8330,8750,8650,6400,4970,4410,
Liberia,LBR,"GNI per capita, Atlas method (current US$)",440,500,540,620,630,630,620,630,620,610,580,630,690,730
Libya,LBY,"GNI per capita, Atlas method (current US$)",11560,6230,14020,12590,9620,8830,8100,10310,11630,11240,5670,11220,10290,7570
St. Lucia,LCA,"GNI per capita, Atlas method (current US$)",8240,8870,8970,9000,9010,8990,9670,10210,11010,11040,8500,9690,11500,12400
Latin America & Caribbean,LCN,"GNI per capita, Atlas method (current US$)",8134.927981,8956.305896,9887.607652,10306.99985,10197.03607,9225.751971,8484.464713,8370.047786,8706.106145,8808.281177,7708.831299,8200.436055,8827.083112,9566.21695
Least developed countries: UN classification,LDC,"GNI per capita, Atlas method (current US$)",781.4483528,827.8790942,891.7149735,957.1097718,998.2378897,978.8908628,952.0680156,968.9072186,1046.974524,1104.387467,1084.171819,1141.784103,1228.327387,1272.9999
Low income,LIC,"GNI per capita, Atlas method (current US$)",687.9476827,701.269401,680.9170727,682.29554,703.0233629,686.4499529,660.1728534,642.0328477,649.1756033,672.3506938,653.8566815,673.5256808,718.0127809,769.2361347
Liechtenstein,LIE,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Sri Lanka,LKA,"GNI per capita, Atlas method (current US$)",2380,2850,3370,3530,3730,3860,3980,4210,4360,4220,3880,4020,3620,3540
Lower middle income,LMC,"GNI per capita, Atlas method (current US$)",1382.045586,1508.264746,1663.605008,1764.447777,1851.237049,1872.261478,1900.758028,1945.964301,2088.742668,2171.861307,2056.46295,2256.78638,2450.897855,2513.117504
Low & middle income,LMY,"GNI per capita, Atlas method (current US$)",3095.456442,3451.826778,3890.419758,4195.758808,4353.680877,4300.104087,4256.514686,4348.495175,4645.963576,4858.928565,4682.72249,5155.555759,5536.136064,5763.817975
Lesotho,LSO,"GNI per capita, Atlas method (current US$)",1260,1340,1480,1430,1320,1280,1230,1150,1240,1280,1170,1160,1220,1160
Late-demographic dividend,LTE,"GNI per capita, Atlas method (current US$)",5774.502602,6508.851429,7480.279091,8269.989318,8674.108797,8501.618892,8345.221651,8550.767332,9346.244127,10010.99955,9885.700311,10968.06821,11818.71633,12400.83445
Lithuania,LTU,"GNI per capita, Atlas method (current US$)",12570,13320,14100,15340,16070,15190,14890,15280,17470,19090,19700,21850,23860,24820
Luxembourg,LUX,"GNI per capita, Atlas method (current US$)",77640,79210,87950,85160,86760,73530,73730,75800,79770,79180,80980,87610,89200,88370
Latvia,LVA,"GNI per capita, Atlas method (current US$)",12650,12740,13800,14850,15340,15110,14800,14870,16560,17580,17900,19910,21970,21970
"Macao SAR, China",MAC,"GNI per capita, Atlas method (current US$)",43710,52570,58830,67640,70480,60760,62300,68110,74030,72820,44420,46530,43940,
St. Martin (French part),MAF,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Morocco,MAR,"GNI per capita, Atlas method (current US$)",3190,3260,3230,3350,3320,3290,3140,3160,3380,3500,3260,3620,3670,3700
Monaco,MCO,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Moldova,MDA,"GNI per capita, Atlas method (current US$)",2380,2730,3140,3620,3730,3290,3170,3300,3850,4490,4360,5270,5500,6110
Madagascar,MDG,"GNI per capita, Atlas method (current US$)",460,470,480,500,500,470,450,460,490,510,460,490,510,530
Maldives,MDV,"GNI per capita, Atlas method (current US$)",5990,6690,6790,7040,7660,8070,8530,9120,9880,10400,6890,9350,10880,11030
Middle East & North Africa,MEA,"GNI per capita, Atlas method (current US$)",6852.122722,7327.608866,8258.569553,8672.515182,8628.79306,7978.759726,7584.89613,7236.399276,7447.114926,7558.913463,6963.852803,7531.447534,8412.30529,8731.838035
Mexico,MEX,"GNI per capita, Atlas method (current US$)",9560,9850,10590,10810,11050,10660,9800,9310,9610,9930,8960,9920,10810,12100
Marshall Islands,MHL,"GNI per capita, Atlas method (current US$)",3710,3780,3800,4280,4500,4910,4980,5220,5940,6640,6480,6520,7270,7570
Middle income,MIC,"GNI per capita, Atlas method (current US$)",3337.481655,3732.327954,4222.063277,4563.224513,4740.223499,4687.781606,4647.966525,4758.053409,5094.649228,5337.222642,5151.438852,5686.356783,6118.05761,6379.050653
North Macedonia,MKD,"GNI per capita, Atlas method (current US$)",5010,5140,5090,5400,5630,5550,5440,5390,6050,6520,6460,7050,7500,7660
Mali,MLI,"GNI per capita, Atlas method (current US$)",670,710,710,750,780,770,750,730,800,820,790,820,850,860
Malta,MLT,"GNI per capita, Atlas method (current US$)",21370,22120,22160,23370,24560,25230,23440,24660,27610,29350,26480,30830,33330,34240
Myanmar,MMR,"GNI per capita, Atlas method (current US$)",870,1030,1160,1250,1250,1220,1220,1220,1300,1370,1310,1230,1280,1210
Middle East & North Africa (excluding high income),MNA,"GNI per capita, Atlas method (current US$)",3937.285167,4107.63962,4600.414516,4688.821503,4535.164901,4094.39066,3993.22572,3827.633419,3733.697371,3597.79646,3205.420957,3513.977012,3874.889381,3968.050991
Montenegro,MNE,"GNI per capita, Atlas method (current US$)",6920,7260,7000,7330,7320,7260,7090,7410,8450,9140,7900,9370,10480,11500
Mongolia,MNG,"GNI per capita, Atlas method (current US$)",2010,2610,3690,4390,4270,3850,3520,3250,3700,3840,3720,3730,4260,4950
Northern Mariana Islands,MNP,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Mozambique,MOZ,"GNI per capita, Atlas method (current US$)",550,570,620,690,710,660,550,470,470,490,470,490,490,530
Mauritania,MRT,"GNI per capita, Atlas method (current US$)",1540,1630,1790,1890,1790,1690,1560,1570,1710,1750,1760,1860,2080,2150
Mauritius,MUS,"GNI per capita, Atlas method (current US$)",8150,8400,9550,10090,10460,10410,10270,10560,11910,12440,10220,10280,10500,11530
Malawi,MWI,"GNI per capita, Atlas method (current US$)",650,710,660,590,540,510,500,480,500,550,570,610,640,640
Malaysia,MYS,"GNI per capita, Atlas method (current US$)",8110,8890,9980,10600,10870,10400,9880,9680,10360,10960,10320,10740,11830,11970
North America,NAC,"GNI per capita, Atlas method (current US$)",48732.13119,50329.75856,52537.08737,53763.63013,55332.30123,55621.44453,55743.95554,57501.04378,61507.42736,64188.83773,62555.8974,69010.0041,74168.14906,77494.10167
Namibia,NAM,"GNI per capita, Atlas method (current US$)",4540,5190,5800,6020,5870,5380,4810,4700,5000,5270,4650,4600,4840,4870
New Caledonia,NCL,"GNI per capita, Atlas method (current US$)",,,,,,,,,,37170,36580,37370,,
Niger,NER,"GNI per capita, Atlas method (current US$)",510,520,540,570,580,550,520,510,570,590,550,590,580,600
Nigeria,NGA,"GNI per capita, Atlas method (current US$)",2130,2180,2450,2700,2970,2860,2460,2090,2020,2110,2110,2160,2160,1930
Nicaragua,NIC,"GNI per capita, Atlas method (current US$)",1460,1560,1660,1730,1810,1870,1930,2000,1940,1880,1760,1970,2090,2270
Netherlands,NLD,"GNI per capita, Atlas method (current US$)",53430,53650,51500,51900,51600,49300,46480,46270,50540,51930,50170,58170,60230,60670
Norway,NOR,"GNI per capita, Atlas method (current US$)",88940,90920,99750,104830,105070,93440,81870,76230,80970,82430,78610,83370,96770,102460
Nepal,NPL,"GNI per capita, Atlas method (current US$)",540,630,760,840,860,870,860,970,1110,1220,1180,1230,1340,1370
Nauru,NRU,"GNI per capita, Atlas method (current US$)",4990,6880,9490,11140,12310,11970,11390,10960,12260,15130,16240,18220,20920,22090
New Zealand,NZL,"GNI per capita, Atlas method (current US$)",29670,32220,36710,39950,41680,40650,39440,38810,41650,43050,41660,45520,48530,48610
OECD members,OED,"GNI per capita, Atlas method (current US$)",35533.58566,36655.57,37759.64026,38401.97804,38515.57339,37386.41718,36518.41813,36698.84243,39113.58812,40406.64959,38836.90549,42779.87628,45229.47489,46071.17315
Oman,OMN,"GNI per capita, Atlas method (current US$)",19540,18870,22030,23030,22020,20520,18520,16620,17250,17820,17090,17960,20020,21540
