RK,Team,Total Points,Previous Points,+/-,Match window,,
109,MadagascarMAD https://api.fifa.com/api/v3/picture/flags-sq-2/MAD,1180,1196.56,-16.56,LD,,
110,SudanSDN https://api.fifa.com/api/v3/picture/flags-sq-2/SDN,1176.2,1154.5,21.7,WD,,
111,Korea DPRPRK https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,1175.14,1183.02,-7.88,DD,,
112,TanzaniaTAN https://api.fifa.com/api/v3/picture/flags-sq-2/TAN,1173.84,1188.24,-14.4,LL,,
113,NamibiaNAM https://api.fifa.com/api/v3/picture/flags-sq-2/NAM,1173.81,1201.3,-27.49,LL,,
114,MauritaniaMTN https://api.fifa.com/api/v3/picture/flags-sq-2/MTN,1168.44,1179.04,-10.6,LL,,
115,LebanonLBN https://api.fifa.com/api/v3/picture/flags-sq-2/LBN,1167.49,1167.49,-,DD,,
116,Guinea-BissauGNB https://api.fifa.com/api/v3/picture/flags-sq-2/GNB,1166.34,1166.02,0.32,DL,,
117,ZimbabweZIM https://api.fifa.com/api/v3/picture/flags-sq-2/ZIM,1162.48,1134.99,27.49,WW,,
118,AzerbaijanAZE https://api.fifa.com/api/v3/picture/flags-sq-2/AZE,1161.8,1173.15,-11.35,LL,,
119,VietnamVIE https://api.fifa.com/api/v3/picture/flags-sq-2/VIE,1161.11,1161.38,-0.27,DDD,,
120,CongoCGO https://api.fifa.com/api/v3/picture/flags-sq-2/CGO,1159.42,1160.33,-0.91,DL,,
121,Sierra LeoneSLE https://api.fifa.com/api/v3/picture/flags-sq-2/SLE,1149.81,1134.26,15.55,WL,,
122,LibyaLBY https://api.fifa.com/api/v3/picture/flags-sq-2/LBY,1148.7,1153.97,-5.27,LL,,
123,TogoTOG https://api.fifa.com/api/v3/picture/flags-sq-2/TOG,1147.91,1158.81,-10.9,LL,,
124,EstoniaEST https://api.fifa.com/api/v3/picture/flags-sq-2/EST,1145.52,1140.39,5.13,LW,,
125,IndiaIND https://api.fifa.com/api/v3/picture/flags-sq-2/IND,1133.78,1133.52,0.26,DDD,,
126,RwandaRWA https://api.fifa.com/api/v3/picture/flags-sq-2/RWA,1130.04,1123.32,6.72,WL,,
127,CyprusCYP https://api.fifa.com/api/v3/picture/flags-sq-2/CYP,1127.51,1137.06,-9.55,LL,,
128,The GambiaGAM https://api.fifa.com/api/v3/picture/flags-sq-2/GAM,1125.62,1109.05,16.57,WD,,
129,Central African RepublicCTA https://api.fifa.com/api/v3/picture/flags-sq-2/CTA,1125.26,1130.7,-5.44,LL,,
130,IndonesiaIDN https://api.fifa.com/api/v3/picture/flags-sq-2/IDN,1118.87,1124.17,-5.3,DD,,
131,NigerNIG https://api.fifa.com/api/v3/picture/flags-sq-2/NIG,1114.73,1132.39,-17.66,LL,,
132,NicaraguaNCA https://api.fifa.com/api/v3/picture/flags-sq-2/NCA,1114.28,1118.04,-3.76,L,,
133,MalaysiaMAS https://api.fifa.com/api/v3/picture/flags-sq-2/MAS,1113.92,1117.64,-3.72,L,,
134,MalawiMWI https://api.fifa.com/api/v3/picture/flags-sq-2/MWI,1111.16,1117.42,-6.26,LL,,
135,KuwaitKUW https://api.fifa.com/api/v3/picture/flags-sq-2/KUW,1106.42,1111.62,-5.2,DD,,
136,SurinameSUR https://api.fifa.com/api/v3/picture/flags-sq-2/SUR,1105.29,1094.39,10.9,WD,,
137,LatviaLVA https://api.fifa.com/api/v3/picture/flags-sq-2/LVA,1093.82,1097.98,-4.16,DL,,
138,Faroe IslandsFRO https://api.fifa.com/api/v3/picture/flags-sq-2/FRO,1091.52,1089.51,2.01,DD,,
139,BurundiBDI https://api.fifa.com/api/v3/picture/flags-sq-2/BDI,1089.49,1101.79,-12.3,LL,,
140,BotswanaBOT https://api.fifa.com/api/v3/picture/flags-sq-2/BOT,1088.45,1050.15,38.3,WW,,
141,LithuaniaLTU https://api.fifa.com/api/v3/picture/flags-sq-2/LTU,1082.36,1090.89,-8.53,LL,,
142,Dominican RepublicDOM https://api.fifa.com/api/v3/picture/flags-sq-2/DOM,1071.88,1057.75,14.13,WW,,
143,St Kitts and NevisSKN https://api.fifa.com/api/v3/picture/flags-sq-2/SKN,1069.25,1068.25,1,DW,,
144,TurkmenistanTKM https://api.fifa.com/api/v3/picture/flags-sq-2/TKM,1065.42,1065.42,-,D,,
145,PhilippinesPHI https://api.fifa.com/api/v3/picture/flags-sq-2/PHI,1053.09,1050.03,3.06,WL,,
146,FijiFIJ https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ,1051.41,1038.29,13.12,W,,
147,Solomon IslandsSOL https://api.fifa.com/api/v3/picture/flags-sq-2/SOL,1050.99,1064.11,-13.12,L,,
148,EthiopiaETH https://api.fifa.com/api/v3/picture/flags-sq-2/ETH,1049.28,1063.44,-14.16,LL,,
149,LiberiaLBR https://api.fifa.com/api/v3/picture/flags-sq-2/LBR,1048.86,1064.97,-16.11,LL,,
150,MoldovaMDA https://api.fifa.com/api/v3/picture/flags-sq-2/MDA,1040.83,1042.81,-1.98,LW,,
151,AfghanistanAFG https://api.fifa.com/api/v3/picture/flags-sq-2/AFG,1034.37,1034.37,-,,,
152,LesothoLES https://api.fifa.com/api/v3/picture/flags-sq-2/LES,1032.79,1034.02,-1.23,LD,,
153,Puerto RicoPUR https://api.fifa.com/api/v3/picture/flags-sq-2/PUR,1021.62,1021.62,-,,,
154,YemenYEM https://api.fifa.com/api/v3/picture/flags-sq-2/YEM,1021.24,1021.24,-,,,
155,New CaledoniaNCL https://api.fifa.com/api/v3/picture/flags-sq-2/NCL,1020.83,1008.92,11.91,W,,
156,Antigua and BarbudaATG https://api.fifa.com/api/v3/picture/flags-sq-2/ATG,1020.58,1034.71,-14.13,LL,,
157,VanuatuVAN https://api.fifa.com/api/v3/picture/flags-sq-2/VAN,1015.52,1005.49,10.03,W,,
158,"Hong Kong, ChinaHKG https://api.fifa.com/api/v3/picture/flags-sq-2/HKG",1015.1,1017.66,-2.56,WL,,
159,TahitiTAH https://api.fifa.com/api/v3/picture/flags-sq-2/TAH,1009.52,1016.83,-7.31,L,,
160,EswatiniSWZ https://api.fifa.com/api/v3/picture/flags-sq-2/SWZ,1009.19,1012.17,-2.98,LD,,
161,GuyanaGUY https://api.fifa.com/api/v3/picture/flags-sq-2/GUY,1008.68,1019.99,-11.31,LL,,
162,SingaporeSGP https://api.fifa.com/api/v3/picture/flags-sq-2/SGP,1008.26,1008.26,-,,,
163,MaldivesMDV https://api.fifa.com/api/v3/picture/flags-sq-2/MDV,1003.48,1003.48,-,,,
164,St LuciaLCA https://api.fifa.com/api/v3/picture/flags-sq-2/LCA,997.86,997.86,-,,,
165,MyanmarMYA https://api.fifa.com/api/v3/picture/flags-sq-2/MYA,990.98,988.98,2,DW,,
166,CubaCUB https://api.fifa.com/api/v3/picture/flags-sq-2/CUB,990.18,991.73,-1.55,LD,,
167,BermudaBER https://api.fifa.com/api/v3/picture/flags-sq-2/BER,986.53,973.34,13.19,WW,,
168,Chinese TaipeiTPE https://api.fifa.com/api/v3/picture/flags-sq-2/TPE,985.66,991.34,-5.68,L,,
169,MaltaMLT https://api.fifa.com/api/v3/picture/flags-sq-2/MLT,980.5,971.89,8.61,WD,,
170,AndorraAND https://api.fifa.com/api/v3/picture/flags-sq-2/AND,977.96,981.7,-3.74,WL,,
171,Papua New GuineaPNG https://api.fifa.com/api/v3/picture/flags-sq-2/PNG,972.32,984.23,-11.91,L,,
172,South SudanSSD https://api.fifa.com/api/v3/picture/flags-sq-2/SSD,955.67,967.83,-12.16,LL,,
173,BarbadosBRB https://api.fifa.com/api/v3/picture/flags-sq-2/BRB,955.21,944.1,11.11,WW,,
174,St Vincent and the GrenadinesVIN https://api.fifa.com/api/v3/picture/flags-sq-2/VIN,954.86,945.8,9.06,WL,,
175,GrenadaGRN https://api.fifa.com/api/v3/picture/flags-sq-2/GRN,947.22,946.7,0.52,LD,,
176,NepalNEP https://api.fifa.com/api/v3/picture/flags-sq-2/NEP,935.93,935.93,-,,,
177,ChadCHA https://api.fifa.com/api/v3/picture/flags-sq-2/CHA,933.39,932.44,0.95,LD,,
178,MauritiusMRI https://api.fifa.com/api/v3/picture/flags-sq-2/MRI,927.57,927.57,-,,,
179,BelizeBLZ https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ,925.02,913.42,11.6,WW,,
180,MontserratMSR https://api.fifa.com/api/v3/picture/flags-sq-2/MSR,924.14,924.14,-,,,
181,CambodiaCAM https://api.fifa.com/api/v3/picture/flags-sq-2/CAM,921.2,919.7,1.5,LW,,
182,BhutanBHU https://api.fifa.com/api/v3/picture/flags-sq-2/BHU,904.06,904.06,-,,,
183,DominicaDMA https://api.fifa.com/api/v3/picture/flags-sq-2/DMA,903.54,916.73,-13.19,LL,,
184,Brunei DarussalamBRU https://api.fifa.com/api/v3/picture/flags-sq-2/BRU,900.75,906.83,-6.08,DL,,
185,BangladeshBAN https://api.fifa.com/api/v3/picture/flags-sq-2/BAN,896.71,896.71,-,,,
186,SamoaSAM https://api.fifa.com/api/v3/picture/flags-sq-2/SAM,890.77,900.79,-10.02,L,,
187,LaosLAO https://api.fifa.com/api/v3/picture/flags-sq-2/LAO,889.62,889.62,-,,,
188,MongoliaMNG https://api.fifa.com/api/v3/picture/flags-sq-2/MNG,883.57,883.57,-,,,
189,American SamoaASA https://api.fifa.com/api/v3/picture/flags-sq-2/ASA,883.17,883.17,-,,,
190,São Tomé and PríncipeSTP https://api.fifa.com/api/v3/picture/flags-sq-2/STP,878.09,878.09,-,,,
191,Cook IslandsCOK https://api.fifa.com/api/v3/picture/flags-sq-2/COK,877.53,877.53,-,,,
192,DjiboutiDJI https://api.fifa.com/api/v3/picture/flags-sq-2/DJI,875.13,875.13,-,,,
193,MacauMAC https://api.fifa.com/api/v3/picture/flags-sq-2/MAC,871.52,871.52,-,,,
194,Cayman IslandsCAY https://api.fifa.com/api/v3/picture/flags-sq-2/CAY,866.71,857.37,9.34,DW,,
195,ArubaARU https://api.fifa.com/api/v3/picture/flags-sq-2/ARU,863.29,868.4,-5.11,LL,,
196,Timor-LesteTLS https://api.fifa.com/api/v3/picture/flags-sq-2/TLS,850.83,844.75,6.08,DW,,
197,GibraltarGIB https://api.fifa.com/api/v3/picture/flags-sq-2/GIB,848.32,842.4,5.92,DW,,
198,PakistanPAK https://api.fifa.com/api/v3/picture/flags-sq-2/PAK,842.59,842.59,-,,,
199,TongaTGA https://api.fifa.com/api/v3/picture/flags-sq-2/TGA,835.64,835.64,-,,,
200,LiechtensteinLIE https://api.fifa.com/api/v3/picture/flags-sq-2/LIE,834.15,827.19,6.96,DW,,
201,SeychellesSEY https://api.fifa.com/api/v3/picture/flags-sq-2/SEY,831.19,831.19,-,,,
202,SomaliaSOM https://api.fifa.com/api/v3/picture/flags-sq-2/SOM,829.81,829.81,-,,,
203,Sri LankaSRI https://api.fifa.com/api/v3/picture/flags-sq-2/SRI,829.39,831.39,-2,DL,,
204,GuamGUM https://api.fifa.com/api/v3/picture/flags-sq-2/GUM,821.91,821.91,-,,,
205,BahamasBAH https://api.fifa.com/api/v3/picture/flags-sq-2/BAH,818.58,817.25,1.33,LW,,
206,Turks and Caicos IslandsTCA https://api.fifa.com/api/v3/picture/flags-sq-2/TCA,803.98,802.81,1.17,LW,,
207,British Virgin IslandsVGB https://api.fifa.com/api/v3/picture/flags-sq-2/VGB,780.3,790.63,-10.33,LL,,
208,US Virgin IslandsVIR https://api.fifa.com/api/v3/picture/flags-sq-2/VIR,779.71,792.15,-12.44,LL,,#NAME?
209,AnguillaAIA https://api.fifa.com/api/v3/picture/flags-sq-2/AIA,769.31,782.08,-12.77,LL,,
210,San MarinoSMR https://api.fifa.com/api/v3/picture/flags-sq-2/SMR,737.04,746.05,-9.01,LL,,
